ministry,scheme,objective_details
Ministry of Health & Family Welfare,Pradhan Mantri Swasthya Suraksha Nidhi,Improve healthcare infrastructure and services.
,Ayushman Bharat Pradhan Mantri Jan Aarogya Yojana,Provide health insurance coverage to economically vulnerable families.
,National Digital Health Mission,Develop a digital health ecosystem and enhance healthcare delivery through technology.
,Pradhan Mantri Swasthya Suraksha Yojna,Enhance healthcare infrastructure in rural areas.
,Intensified Mission Indradhanush 3.0,Increase immunization coverage among children and pregnant women.
Ministry of Education,STARS Project,Support the strengthening of school education systems.
,Institutions of Eminence Scheme,Upgrade selected higher education institutions to world-class standards.
,Mid-Day Meal,Provide nutritious meals to school children to improve their health and education.
,Swach Vidyalaya Abhiyan,Ensure the availability of proper sanitation facilities in schools.
,Kala Utsav,Promote and celebrate the cultural diversity of India through arts and crafts.
,Shikshav Parv Initiative,Enhance the quality of education through various reforms and initiatives.
,Scheme for Promotion of Academic and Research Collaboration (SPARC),Foster collaboration between academic institutions and research organizations.
,Higher Education Financing Agency (HEFA),Provide financial support for the development of educational infrastructure.
Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojna,Provide financial support to pregnant and lactating mothers.
,Poshan Abhiyan,"Improve nutritional outcomes for children, pregnant women, and lactating mothers."
,Rashtriya Poshan Maah,Focus on enhancing nutritional awareness and interventions.
Ministry of Skill Development & Entrepreneurship,Pradhan Mantri Kaushal Vikas Yojna,Provide skill training to youth to enhance employability.
Ministry of Rural Development,Unique Land Parcel Identification Number (ULPIN) Scheme,Provide a unique identification number for land parcels to improve land records.
,National Social Assistance Programme (NSAP),"Provide social assistance to the elderly, widows, and disabled individuals."
,Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGS),Guarantee employment to rural households and enhance their livelihoods.
,Rashtriya Aajivika Mission,Promote self-employment and livelihood opportunities in rural areas.
,Gram Panchayat Development Plans,Plan and implement development projects at the village level.
,Startup Village Entrepreneurship Programme,Support entrepreneurship and startup initiatives in rural areas.
,DDU Grameen Kaushalya Yojna,Provide skill development and employment opportunities to rural youth.
,Pradhan Mantri Awas Yojna,Provide affordable housing to the urban and rural poor.
Ministry of Housing & Urban Affairs,Global Housing Technology Challenge,Promote innovative housing technologies and solutions.
,Safaimitra Suraksha Challenge,Improve sanitation and safety for sanitation workers.
,PM SVANIDI,Provide street vendors with loans and financial support.
,Climate-Smart City Assessment Framework,Assess and improve climate resilience of urban areas.
,Swachh Sarvekshan 2021,Evaluate and improve urban sanitation and cleanliness.
Ministry of Jal Shakti,Rashtriya Swachhta Kendra,Promote and maintain cleanliness and sanitation practices.
,Grand ICT Challenge,Use information and communication technology for water management.
Ministry of Social Justice & Empowerment,Ambekar Social Innovation & Incubation Mission,Foster social innovation and entrepreneurship for marginalized communities.
Ministry of Finance,Saral Jeevan Bima,Provide simplified life insurance products.
Ministry of Commerce & Industry,One District One Product Scheme,Promote local products and manufacturing in each district.
,PRARAMBH: Startup India International Summit,Facilitate and promote international startup collaborations and investments.
,Merchandise Export From India Scheme,Enhance merchandise exports from India.
Ministry of Textiles,SAMARTH Scheme,Support skill development and employment in the textile sector.
,National Technical Textile Mission,Promote research and development in technical textiles.
"Ministry of Ports, Shipping & Waterways",Sagarmala Sea Plane Services,Enhance sea plane connectivity and services.
,National Authority For Recycling of Ships,Promote recycling of ships and sustainable practices.
Ministry of Labor & Employment,Atal Beemit Vyakti Kalyan Yojna,Provide financial support to unemployed individuals.
,Nation Career Service Project,Enhance career services and employment opportunities.
"Ministry of Consumer Affairs, Food, and Public Distribution",Bureau of Indian Standards,Develop and enforce quality standards for goods and services.
,"Consumer Protection (E-commerce) Rules, 2020",Regulate and protect consumer interests in the e-commerce sector.
Ministry of Statistics & Programme Implementation,MPLADS (Members of Parliament Local Area Development Scheme),Fund development projects in parliamentary constituencies.
NITI Aayog,Vision 2035,Set long-term development goals and strategies for India.
,NPMPF (National Program and Project Management Policy Framework),Implement project management frameworks for efficient execution of government projects.
,Aatmanirbhar Bharat ARISE-Atal New India Challenge,Promote innovation and research to drive self-reliance and development.
"Minister of Railways, Commerce and Industry, Consumer Affairs and Food and Public Distribution",Startup India Seed Fund Scheme (SISFS),Provide seed funding to startups and encourage entrepreneurship.
